,Fanduel Salary,H/A,Opponent,Player,Points,Position,Team,Week,Year
0,7800,h,was,"Wentz, Carson",32.02,QB,phi,7,2017
1,7100,h,kan,"Carr, Derek",30.18,QB,oak,7,2017
2,8400,a,sfo,"Prescott, Dak",29.96,QB,dal,7,2017
3,8100,a,nyg,"Wilson, Russell",26.36,QB,sea,7,2017
4,7600,a,oak,"Smith, Alex",25.68,QB,kan,7,2017
5,7000,a,mia,"McCown, Josh",25.46,QB,nyj,7,2017
6,7500,a,phi,"Cousins, Kirk",24.92,QB,was,7,2017
7,7600,a,buf,"Winston, Jameis",24.36,QB,tam,7,2017
8,8300,a,gnb,"Brees, Drew",21.14,QB,nor,7,2017
9,7000,h,tam,"Taylor, Tyrod",20.02,QB,buf,7,2017
10,7300,h,ari,"Goff, Jared",19.7,QB,lar,7,2017
11,9200,h,atl,"Brady, Tom",18.46,QB,nwe,7,2017
12,8700,a,nwe,"Ryan, Matt",17.02,QB,atl,7,2017
13,7200,h,cin,"Roethlisberger, Ben",16.66,QB,pit,7,2017
14,7200,a,ind,"Bortles, Blake",16.3,QB,jac,7,2017
15,6900,h,den,"Rivers, Philip",15.32,QB,lac,7,2017
16,6200,h,nyj,"Moore, Matt",14.52,QB,mia,7,2017
17,6300,h,dal,"Beathard, C.J.",14.4,QB,sfo,7,2017
18,6500,h,nor,"Hundley, Brett",12.88,QB,gnb,7,2017
19,6500,h,nyj,"Cutler, Jay",12.52,QB,mia,7,2017
20,7300,a,pit,"Dalton, Andy",12.4,QB,cin,7,2017
21,6800,a,min,"Flacco, Joe",11.44,QB,bal,7,2017
22,6900,h,jac,"Brissett, Jacoby",11.1,QB,ind,7,2017
23,8100,a,chi,"Newton, Cam",9.44,QB,car,7,2017
24,8200,a,cle,"Mariota, Marcus",8.92,QB,ten,7,2017
25,6600,h,bal,"Keenum, Case",7.42,QB,min,7,2017
26,6500,h,sea,"Manning, Eli",7.36,QB,nyg,7,2017
27,7500,a,lac,"Siemian, Trevor",6.68,QB,den,7,2017
28,6300,h,car,"Trubisky, Mitchell",4.58,QB,chi,7,2017
29,7000,a,lar,"Palmer, Carson",3.88,QB,ari,7,2017
